Name,Description,CONFIG,PRODUCT,VERSION,COMPONENT,LOCALE,KEY,VALUE,FORMAT_ITEMS,ASSERTION
"ascii_ ",,ascii.yml,PythonClient,1.0.1,ascii,en, ,the ascii value is : 32,,the ascii value is : 32
ascii_!,,ascii.yml,PythonClient,1.0.1,ascii,en,!,the ascii value is : 33,,the ascii value is : 33
"ascii_""",,ascii.yml,PythonClient,1.0.1,ascii,en,"",the ascii value is : 34,,the ascii value is : 34
ascii_#,,ascii.yml,PythonClient,1.0.1,ascii,en,#,the ascii value is : 35,,the ascii value is : 35
ascii_$,,ascii.yml,PythonClient,1.0.1,ascii,en,$,the ascii value is : 36,,the ascii value is : 36
ascii_%,,ascii.yml,PythonClient,1.0.1,ascii,en,%,the ascii value is : 37,,the ascii value is : 37
ascii_&,,ascii.yml,PythonClient,1.0.1,ascii,en,&,the ascii value is : 38,,the ascii value is : 38
ascii_',,ascii.yml,PythonClient,1.0.1,ascii,en,',the ascii value is : 39,,the ascii value is : 39
ascii_(,,ascii.yml,PythonClient,1.0.1,ascii,en,(,the ascii value is : 40,,the ascii value is : 40
ascii_),,ascii.yml,PythonClient,1.0.1,ascii,en,),the ascii value is : 41,,the ascii value is : 41
ascii_*,,ascii.yml,PythonClient,1.0.1,ascii,en,*,the ascii value is : 42,,the ascii value is : 42
ascii_+,,ascii.yml,PythonClient,1.0.1,ascii,en,+,the ascii value is : 43,,the ascii value is : 43
"ascii_,",,ascii.yml,PythonClient,1.0.1,ascii,en,",",the ascii value is : 44,,the ascii value is : 44
ascii_-,,ascii.yml,PythonClient,1.0.1,ascii,en,-,the ascii value is : 45,,the ascii value is : 45
ascii_.,,ascii.yml,PythonClient,1.0.1,ascii,en,.,the ascii value is : 46,,the ascii value is : 46
ascii_/,,ascii.yml,PythonClient,1.0.1,ascii,en,/,the ascii value is : 47,,the ascii value is : 47
ascii_0,,ascii.yml,PythonClient,1.0.1,ascii,en,0,the ascii value is : 48,,the ascii value is : 48
ascii_1,,ascii.yml,PythonClient,1.0.1,ascii,en,1,the ascii value is : 49,,the ascii value is : 49
ascii_2,,ascii.yml,PythonClient,1.0.1,ascii,en,2,the ascii value is : 50,,the ascii value is : 50
ascii_3,,ascii.yml,PythonClient,1.0.1,ascii,en,3,the ascii value is : 51,,the ascii value is : 51
ascii_4,,ascii.yml,PythonClient,1.0.1,ascii,en,4,the ascii value is : 52,,the ascii value is : 52
ascii_5,,ascii.yml,PythonClient,1.0.1,ascii,en,5,the ascii value is : 53,,the ascii value is : 53
ascii_6,,ascii.yml,PythonClient,1.0.1,ascii,en,6,the ascii value is : 54,,the ascii value is : 54
ascii_7,,ascii.yml,PythonClient,1.0.1,ascii,en,7,the ascii value is : 55,,the ascii value is : 55
ascii_8,,ascii.yml,PythonClient,1.0.1,ascii,en,8,the ascii value is : 56,,the ascii value is : 56
ascii_9,,ascii.yml,PythonClient,1.0.1,ascii,en,9,the ascii value is : 57,,the ascii value is : 57
ascii_:,,ascii.yml,PythonClient,1.0.1,ascii,en,:,the ascii value is : 58,,the ascii value is : 58
ascii_;,,ascii.yml,PythonClient,1.0.1,ascii,en,;,the ascii value is : 59,,the ascii value is : 59
ascii_<,,ascii.yml,PythonClient,1.0.1,ascii,en,<,the ascii value is : 60,,the ascii value is : 60
ascii_=,,ascii.yml,PythonClient,1.0.1,ascii,en,=,the ascii value is : 61,,the ascii value is : 61
ascii_>,,ascii.yml,PythonClient,1.0.1,ascii,en,>,the ascii value is : 62,,the ascii value is : 62
ascii_?,,ascii.yml,PythonClient,1.0.1,ascii,en,?,the ascii value is : 63,,the ascii value is : 63
ascii_@,,ascii.yml,PythonClient,1.0.1,ascii,en,@,the ascii value is : 64,,the ascii value is : 64
ascii_A,,ascii.yml,PythonClient,1.0.1,ascii,en,A,the ascii value is : 65,,the ascii value is : 65
ascii_B,,ascii.yml,PythonClient,1.0.1,ascii,en,B,the ascii value is : 66,,the ascii value is : 66
ascii_C,,ascii.yml,PythonClient,1.0.1,ascii,en,C,the ascii value is : 67,,the ascii value is : 67
ascii_D,,ascii.yml,PythonClient,1.0.1,ascii,en,D,the ascii value is : 68,,the ascii value is : 68
ascii_E,,ascii.yml,PythonClient,1.0.1,ascii,en,E,the ascii value is : 69,,the ascii value is : 69
ascii_F,,ascii.yml,PythonClient,1.0.1,ascii,en,F,the ascii value is : 70,,the ascii value is : 70
ascii_G,,ascii.yml,PythonClient,1.0.1,ascii,en,G,the ascii value is : 71,,the ascii value is : 71
ascii_H,,ascii.yml,PythonClient,1.0.1,ascii,en,H,the ascii value is : 72,,the ascii value is : 72
ascii_I,,ascii.yml,PythonClient,1.0.1,ascii,en,I,the ascii value is : 73,,the ascii value is : 73
ascii_J,,ascii.yml,PythonClient,1.0.1,ascii,en,J,the ascii value is : 74,,the ascii value is : 74
ascii_K,,ascii.yml,PythonClient,1.0.1,ascii,en,K,the ascii value is : 75,,the ascii value is : 75
ascii_L,,ascii.yml,PythonClient,1.0.1,ascii,en,L,the ascii value is : 76,,the ascii value is : 76
ascii_M,,ascii.yml,PythonClient,1.0.1,ascii,en,M,the ascii value is : 77,,the ascii value is : 77
ascii_N,,ascii.yml,PythonClient,1.0.1,ascii,en,N,the ascii value is : 78,,the ascii value is : 78
